id,question,expected_doc,expected_answer,answer,refused,quota_hit,cached,top_source,source_page,n_cited,top_regulator,all_sources,ocr_source,correct,notes
1,What is the minimum paid-up share capital for a commercial bank with international authorisation?,Review of Minimum Capital,N500 billion,"The minimum paid-up share capital for a commercial bank with international authorisation is N500 billion [1, 2].",False,False,True,"Review of Minimum Capital Requirements for Commercial, Merchant and Non-Interest Banks in Nigeria",4,2,CBN,"[1] CBN - Review of Minimum Capital Requirements for Commercial, Merchant and Non-Interest Banks in Nigeria p4 | [2] CBN - Review of Minimum Capital Requirements for Commercial, Merchant and Non-Interest Banks in Nigeria p5",False,,
2,How long must a bank keep customer identification records?,Anti-Money Laundering/Combating the Financing,5 years,"Based on the available documents, a bank must keep records of customer identification for the following periods:

* The Bank shall maintain customers' records of identification, account files, and business correspondence for as long as the relationship subsists and at least five (5) years following the termination of an account or business relationship [1, 3].
* Records are also stated to be kept for a minimum period of five (5) years as may be required by the Law from the date of the last transaction [1, 3].

Note: this passage was read from a scan and may contain transcription errors - please verify figures and paragraph references against the source document. [1, 3]",False,False,True,Anti-Money Laundering/Combating the Financing of Terrorism (AML/CFT) Policy and Procedure Manual,27,2,CBN,[1] CBN - Anti-Money Laundering/Combating the Financing of Terrorism (AML/CFT) Policy and Procedure Manual p27 | [3] CBN - Anti-Money Laundering/Combating the Financing of Terrorism (AML/CFT) Policy and Procedure Manual p27,True,,
3,What qualifications must members of a bank's board have?,Corporate Governance Guidelines,"Persons of proven integrity, knowledgeable in business and financial matters","Based on the available documents, members of a bank's board must meet the following qualification requirements:

* Appointees to the Board must have a track record covering both integrity and past performance, in accordance with extant Guidelines on competency and fit and proper persons for the Nigerian banking industry [5].
* Members should be individuals with ""upright personal characteristics, relevant core competences and entrepreneurial spirit"", have a ""record of tangible achievement"", and be ""knowledgeable in Board matters"" [4.4]. Additionally, they should ""possess a sense of accountability and integrity and be committed to the task of good corporate governance"" [4].",False,False,True,SEC Consolidated Rules and Regulations 2013,412,2,SEC,"[4] SEC - SEC Consolidated Rules and Regulations 2013 p412 | [5] CBN - Corporate Governance Guidelines for Commercial Banks, Merchant, Non-Interest and Payment Service Banks and Financial Holding Companies in Nigeria p7",False,,
4,What is the minimum capital adequacy ratio for a bank with international authorisation?,Guidelines on Regulatory Capital,15%,"A minimum Pillar 1 regulatory Capital Adequacy Ratio (CAR) of 15% is applicable to all banks and banking groups with international authorisation [1]. Additionally, Table 1 specifies the minimum Capital Adequacy Ratio for International Banks and D-SIBs as 15.0% [2].

Note: this passage was read from a scan and may contain transcription errors - please verify figures and paragraph references against the source document.",False,False,True,Guidelines on Regulatory Capital,6,2,CBN,[1] CBN - Guidelines on Regulatory Capital p6 | [2] CBN - Guidelines on Regulatory Capital p7,False,,
5,What are the minimum capital requirements for commercial banks in Kenya?,(not in corpus),Not in the corpus - the system should refuse,I could not find this in the available documents.,True,False,True,,,0,,,False,,
6,What does circular FPR/DIR/PUB/CIR/002/009 require?,Review of Minimum Capital,The 2024 bank recapitalisation programme,Circular FPR/DIR/PUB/CIR/002/009 requires banks to increase their minimum paid-in common equity capital to a specified amount according to their license category and authorization within a specified period of time [4].,False,False,True,"Review of Minimum Capital Requirements for Commercial, Merchant and Non-Interest Banks in Nigeria",4,1,CBN,"[4] CBN - Review of Minimum Capital Requirements for Commercial, Merchant and Non-Interest Banks in Nigeria p4",False,,
8,What are the AML record keeping requirements?,Anti-Money Laundering/Combating the Financing,5 years,"Based on the provided documents, the AML record keeping requirements include the following:

* **General Rule and Duration:** Records required by the ML/TF Acts and Regulations must, as a general rule, be kept for at least 5 years and made available to competent authorities on a timely basis [1, 2]. Similarly, Capital Market Operators must maintain all necessary records of transactions (domestic and international) for at least five years following the completion of the transaction or longer if requested by the SEC in specific cases, regardless of whether the account or business relationship is ongoing or terminated [3]. 
* **Customer Identification, Account Files, and Correspondence:** Records of identification data, the risk profile of each customer or beneficial owner, account files, CDD information, business correspondence, and the results of any analysis undertaken must be maintained for at least five years following the termination of an account or business relationship [3, 4].
* **Specific Information to Retain:** Other important information that must be retained includes:
  * Corporate entities: prescribed and additional information obtained on the entity and its beneficial owners [1].
  * Large cash transactions: large cash transaction records and related customer records [1].
  * Account opening: prescribed information about individuals and entities [1].
  * Transactions in foreign currencies and with non-account holders: prescribed information about the individuals and entities [1].
  * Prescribed incoming EFTs: prescribed information [1].
  * Trusts with respect to which trust companies are trustees: a copy of the trust deed and other prescribed information [1].
  * Accounts of PEPs and transactions of PEPs: PEP office or position and other prescribed information [1, 2].
  * Electronic card accounts, account opening, and accounts of PEPs: PEP office or position and other prescribed information [2].
  * Foreign correspondent banking relationships (where applicable): names, addresses, and other prescribed information [2].
  * Suspicious transactions and attempted suspicious transactions: investigations and conclusions [2].
  * Other information not specifically mentioned above but relevant for AML/CFT control [2].
* **Methods and Formats:** Other Financial Institutions (OFIs) are expected to use record-keeping methods and formats that are appropriate in their particular circumstances [2]. Procedures for keeping paper and electronic records of pertinent information about customers and transactions must comply with all record-keeping requirements prescribed in Regulation 29 of the CBN AML/CFT Regulations, 2013 (as amended) [1].

Note: this passage was read from a scan and may contain transcription errors - please verify figures and paragraph references against the source document [4].",False,False,True,Guidance Note on Anti-Money Laundering and Combating the Financing of Terrorism (AML/CFT) Regulations for Other Financial Institutions,53,4,CBN,[1] CBN - Guidance Note on Anti-Money Laundering and Combating the Financing of Terrorism (AML/CFT) Regulations for Other Financial Institutions p53 | [2] CBN - Guidance Note on Anti-Money Laundering and Combating the Financing of Terrorism (AML/CFT) Regulations for Other Financial Institutions p54 | [3] SEC - SEC Capital Market Operators AML/CFT/CPF Regulations 2022 p17 | [4] CBN - Anti-Money Laundering/Combating the Financing of Terrorism (AML/CFT) Policy and Procedure Manual p26,True,,
9,What must a bank do when a customer is identified as a politically exposed person?,Politically Exposed,"Senior management approval, enhanced ongoing monitoring","Based on the provided documents, the actions required for politically exposed persons (PEPs) depend on whether the person is a foreign PEP, a domestic PEP, or a person entrusted with a prominent function by an international organisation:

1. **Risk Management Systems:** Financial institutions must put in place appropriate risk management systems and procedures to determine whether a customer or the beneficial owner of a customer is a politically exposed person [1, 2].

2. **For Foreign Politically Exposed Persons:** In addition to the requirements of subsections (1) and (2), the financial institution must:
   - ""(a) obtain senior management approval before establishing (or continuing, for existing customers) such business relationships"" [1, 2];
   - ""(b) take reasonable measures to establish the source of wealth and the source of funds of customers and beneficial owners identified as politically exposed persons"" [1, 2]; and
   - ""(c) conduct enhanced ongoing monitoring on that relationship"" [1, 2].

3. **For Domestic PEPs or Persons Entrusted with a Prominent Function by an International Organisation:** Financial institutions must adopt the measures under subsection (8) (listed above) ""where there is higher risk business relationship with such a person"" [1, 2]. For medium or low-risk domestic PEPs or international organisation PEPs who are customers or beneficial owners, financial institutions must, at a minimum, apply customer identification procedures [4].",False,False,True,Money Laundering Prevention and Prohibition Act 2022,8,3,FGN,[1] FGN - Money Laundering Prevention and Prohibition Act 2022 p8 | [2] FGN - Money Laundering Prevention and Prohibition Act 2022 p8 | [4] CBN - Guidance Note on Politically Exposed Persons (PEP) p8,False,,
10,How quickly must a bank report a cybersecurity incident to the CBN?,Cybersecurity,?,"Security incidents must be reported by DMBs and PSBs to the Director, Banking Supervision, Central Bank of Nigeria ""within 24 hours of the incident happening"" [1], [3]. Similarly, SFIs are required to report all cyber incidents ""not later than 24 hours after such incident is detected"" [5].

Note: this passage was read from a scan and may contain transcription errors - please verify figures and paragraph references against the source document.",False,False,True,Central Bank of Nigeria Risk-Based Cybersecurity Framework and Guidelines for Deposit Money Banks and Payment Service Banks,48,3,CBN,[1] CBN - Central Bank of Nigeria Risk-Based Cybersecurity Framework and Guidelines for Deposit Money Banks and Payment Service Banks p48 | [3] CBN - Central Bank of Nigeria Risk-Based Cybersecurity Framework and Guidelines for Deposit Money Banks and Payment Service Banks p48 | [5] CBN - Central Bank of Nigeria Risk-Based Cybersecurity Framework and Guidelines for Deposit Money Banks and Payment Service Banks p25,False,,
11,When does an account become dormant and what happens to the balance?,DORMANT ACCOUNTS,?,"Based on the provided documents, the specific conditions and handling for dormant accounts are as follows:

* **Transfer to a separate register:** An account is transferred to a separate register of dormant accounts, where it remains as a deposit liability in the books of the bank, specialised bank, or other financial institution [2]. 
* **Notification:** The institution must immediately notify the account holder by electronic email and in writing at their last known address to inform them of the account's dormancy [2].
* **Service charges and interest:** Service charges may continue to be levied up to the date the account is transferred to the register of dormant accounts [2]. If the account is interest-bearing, interest continues to be applied until the balance is transferred to the Bank [2].
* **Newspaper advertisement after 10 years:** When an account has been on the register of dormant accounts for 10 years, the bank, specialised bank, or other financial institution must advertise in at least two daily newspapers with national circulation, giving notice that the account has been transferred to the register of dormant accounts [1, 2].
* **Transfer of balance to the Bank after 10 years:** Where an account has been in the register of dormant accounts for 10 years, the bank, specialised bank, or other financial institution shall—following the aforementioned advertisement—transfer the balance on the account, including the interest earned, to an account earmarked for that purpose at the Bank [1].

Note: this passage was read from a scan and may contain transcription errors - please verify figures and paragraph references against the source document.",False,False,True,Banks and Other Financial Institutions Act 2020,63,2,CBN,[1] CBN - Banks and Other Financial Institutions Act 2020 p63 | [2] CBN - Banks and Other Financial Institutions Act 2020 p62,True,,
